,date,ML,Low,High
BA,2020-04-19,1.43,1.11,1.76
BA,2020-04-20,1.41,1.11,1.73
BA,2020-04-21,1.3800000000000001,1.09,1.68
BA,2020-04-22,1.32,1.05,1.62
BA,2020-04-23,1.3,1.03,1.58
BA,2020-04-24,1.23,0.97,1.5
BA,2020-04-25,1.19,0.9400000000000001,1.46
BA,2020-04-26,1.1500000000000001,0.9,1.41
BA,2020-04-27,1.11,0.86,1.36
BA,2020-04-28,1.08,0.84,1.34
BA,2020-04-29,1.06,0.81,1.3
BA,2020-04-30,1.04,0.8,1.29
CE,2020-03-16,2.0,0.34,6.43
CE,2020-03-17,3.43,1.24,5.73
CE,2020-03-18,2.71,1.21,4.25
CE,2020-03-19,2.67,1.47,3.84
CE,2020-03-20,2.42,1.48,3.39
CE,2020-03-21,2.22,1.44,3.04
CE,2020-03-22,1.98,1.28,2.66
CE,2020-03-23,1.79,1.1400000000000001,2.42
CE,2020-03-24,1.52,0.92,2.12
CE,2020-03-25,1.42,0.85,1.99
CE,2020-03-26,1.28,0.73,1.83
CE,2020-03-27,1.21,0.67,1.74
CE,2020-03-28,1.11,0.59,1.6500000000000001
CE,2020-03-29,1.05,0.53,1.58
CE,2020-03-30,1.12,0.62,1.6600000000000001
CE,2020-03-31,1.28,0.79,1.79
CE,2020-04-01,1.44,0.98,1.93
CE,2020-04-02,1.67,1.24,2.11
CE,2020-04-03,1.74,1.34,2.13
CE,2020-04-04,1.77,1.41,2.13
CE,2020-04-05,1.76,1.44,2.1
CE,2020-04-06,1.62,1.32,1.93
CE,2020-04-07,1.49,1.21,1.78
CE,2020-04-08,1.35,1.09,1.6400000000000001
CE,2020-04-09,1.16,0.9,1.44
CE,2020-04-10,1.07,0.8,1.33
CE,2020-04-11,0.99,0.72,1.25
CE,2020-04-12,0.96,0.71,1.25
CE,2020-04-13,1.03,0.76,1.29
CE,2020-04-14,1.1300000000000001,0.87,1.3900000000000001
CE,2020-04-15,1.27,1.02,1.53
CE,2020-04-16,1.41,1.17,1.6500000000000001
CE,2020-04-17,1.43,1.21,1.67
CE,2020-04-18,1.41,1.19,1.62
CE,2020-04-19,1.3800000000000001,1.18,1.6
